workers             chunk_size              time(ms)
4                   512Kb                   20534
4                   1Mb                     17507
4                   2Mb                     14452
4                   4Mb                     11071
4                   8Mb                     10584
4                   12Mb                    10343
4                   16Mb                    10103

1                    1Mb                    13519
2                    1Mb                    13130
4                    1Mb                    17507
6                    1Mb                    15079
8                    1Mb                    16087
12                   1Mb                    18515
16                   1Mb                    18129
